checkpoint_id,selection_bin,draw,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,sample_sequence_ess,raw_gradient_squared_error,ppo_gradient_squared_error,formula_prefers_ppo,fitted_ess_prefers_ppo,effective_count_prefers_ppo,fixed_ess_prefers_ppo
2.0,1.0,21.0,4.0,512.0,4.0801509632285453e-05,0.019549532265871174,0.04968435173990697,0.05505731667655088,1.0,1.0,1.0,1.0
2.0,1.0,21.0,8.0,1024.0,4.0801509632285453e-05,0.027029155173164322,0.015302564654009173,0.015625719006534748,1.0,0.0,1.0,1.0
2.0,1.0,22.0,1.0,128.0,4.0801509632285453e-05,0.17706969477830511,0.01541230058891652,0.00139200515030317,1.0,1.0,1.0,1.0
2.0,1.0,22.0,2.0,256.0,4.0801509632285453e-05,0.1136194789356719,0.0629761245926419,0.0023647285764270905,1.0,1.0,1.0,1.0
2.0,1.0,22.0,4.0,512.0,4.0801509632285453e-05,0.11899785786727014,0.026986543237187976,0.004370127512308161,1.0,1.0,1.0,1.0
2.0,1.0,22.0,8.0,1024.0,4.0801509632285453e-05,0.10618010339992258,0.007669342822398544,0.002102670221930761,1.0,0.0,1.0,1.0
2.0,1.0,23.0,1.0,128.0,4.0801509632285453e-05,0.06613738755827644,0.012332103445768444,0.007475668467369797,1.0,1.0,1.0,1.0
2.0,1.0,23.0,2.0,256.0,4.0801509632285453e-05,0.07365596747009556,0.017052681045360403,0.014811801781739572,1.0,1.0,1.0,1.0
2.0,1.0,23.0,4.0,512.0,4.0801509632285453e-05,0.08347045194343762,0.012540346627139376,0.011603150397651892,1.0,1.0,1.0,1.0
2.0,1.0,23.0,8.0,1024.0,4.0801509632285453e-05,0.04909584194434608,0.004904524221269918,0.00418327174360167,1.0,0.0,1.0,1.0
2.0,1.0,24.0,1.0,128.0,4.0801509632285453e-05,0.09201906290037191,0.0070264407767020075,0.004701586855245592,1.0,1.0,1.0,1.0
2.0,1.0,24.0,2.0,256.0,4.0801509632285453e-05,0.044708648655022415,0.03351113665664588,0.02859833530029619,1.0,1.0,1.0,1.0
2.0,1.0,24.0,4.0,512.0,4.0801509632285453e-05,0.05578460012276785,0.023043701675684147,0.019602687278671815,1.0,1.0,1.0,1.0
2.0,1.0,24.0,8.0,1024.0,4.0801509632285453e-05,0.03964221684781048,0.02547227683578415,0.024644729862884338,1.0,0.0,1.0,1.0
2.0,1.0,25.0,1.0,128.0,4.0801509632285453e-05,0.07897979709464945,0.01984882314536944,0.0025747390388047827,1.0,1.0,1.0,1.0
2.0,1.0,25.0,2.0,256.0,4.0801509632285453e-05,0.1039664505379988,0.011686164280033912,0.0016389083172054588,1.0,1.0,1.0,1.0
2.0,1.0,25.0,4.0,512.0,4.0801509632285453e-05,0.09470529089969906,0.00580913922853708,0.0025688128156726594,1.0,1.0,1.0,1.0
2.0,1.0,25.0,8.0,1024.0,4.0801509632285453e-05,0.015514822684675628,0.008350761952075039,0.0026701558092778873,1.0,0.0,1.0,1.0
2.0,1.0,26.0,1.0,128.0,4.0801509632285453e-05,0.17240424338161608,0.02399051634035001,0.011709407437208823,1.0,1.0,1.0,1.0
2.0,1.0,26.0,2.0,256.0,4.0801509632285453e-05,0.019752960667116824,0.1381267471595988,0.13766468661044967,1.0,1.0,1.0,1.0
2.0,1.0,26.0,4.0,512.0,4.0801509632285453e-05,0.019960856439647137,0.042341835333551806,0.0388091669441436,1.0,1.0,1.0,1.0
2.0,1.0,26.0,8.0,1024.0,4.0801509632285453e-05,0.02234357097494347,0.01374799693861747,0.011820507074152775,1.0,0.0,1.0,1.0
2.0,1.0,27.0,1.0,128.0,4.0801509632285453e-05,0.06863686331321936,0.0024913154721149023,0.0019590268444941257,1.0,1.0,1.0,1.0
2.0,1.0,27.0,2.0,256.0,4.0801509632285453e-05,0.0730814037870581,0.01137881159578339,0.010244894765410968,1.0,1.0,1.0,1.0
