batch_size,path_scale,population_rho,population_value,signal_sq,raw_mse,ppo_mse,raw_relative_risk,ppo_relative_risk,raw_certificate,ppo_certificate,raw_certified,ppo_certified,ppo_only_certified
320,1.4000000000000001,0.3008745996369559,0.90204738862244,7.67571304226279e-05,0.002346218570905851,0.00023438689191197958,30.566783281077285,3.0536171769506724,-0.00019290422244107398,-1.3398529726594893e-05,0.0,0.0,0.0
320,1.4125,0.30023099991691526,0.9029590937480185,7.403578871375923e-05,0.0023254678413884,0.0002306547625473844,31.410050217459517,3.115449521840756,-0.00019137172447734446,-1.331261277585814e-05,0.0,0.0,0.0
320,1.425,0.2996032016426825,0.9038485615260176,7.149404924984231e-05,0.0023051032460750013,0.000228556303293167,32.24188964342491,3.1968577202062884,-0.00018985678173013854,-1.3350291593682598e-05,0.0,0.0,0.0
320,1.4375,0.298990682941493,0.9047164633591263,6.912064327231107e-05,0.0022851138995247456,0.00022410041076124476,33.05978925170298,3.2421632692040756,-0.00018835942678145694,-1.3173280236559365e-05,0.0,0.0,0.0
320,1.4500000000000002,0.29839294277466893,0.9055634476097195,6.690501054571472e-05,0.0022654893053510035,0.00021969162327813903,33.86128014736721,3.2836348352120592,-0.00018687966505844954,-1.2986862082256068e-05,0.0,0.0,0.0
320,1.4625000000000001,0.2978094999823091,0.9063901404426402,6.483725345351641e-05,0.0022462193409537117,0.0002156374760593253,34.643961940246086,3.325826813653075,-0.0001854174774375166,-1.2818018921493758e-05,0.0,0.0,0.0
320,1.475,0.2972398923768713,0.907197146637455,6.290809417537277e-05,0.002227294242815532,0.00021170492710144803,35.405527253875576,3.3653050513859974,-0.00018397282263441354,-1.2647730798716397e-05,0.0,0.0,0.0
320,1.4875,0.29668367588291056,0.907985050371122,6.110883473344703e-05,0.002208704592349461,0.00020800381079876508,36.14378513325764,3.403825514036798,-0.00018254563939736117,-1.2486072965552034e-05,0.0,0.0,0.0
320,1.5,0.29614042372039884,0.9087544159719948,5.9431319709986886e-05,0.002190441302284524,0.00020443039493266426,36.85668285633644,3.4397754572882486,-0.00018113584851883567,-1.2324921393927577e-05,0.0,0.0,0.0
320,1.5125000000000002,0.295609725629209,0.9095057886460853,5.786790145212554e-05,0.0021724956035754834,0.0002028045007823623,37.54232569454419,3.504611290425724,-0.00017974335468048542,-1.2319610943070126e-05,0.0,0.0,0.0
