replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
1.0,raw,nan,23.0,3.0,7.0,0.4776792016077142,0.993736512084039,0.9928535620731285,0.0,nan,nan
1.0,raw,nan,24.0,3.0,8.0,0.4790662972299935,0.9872756412518746,0.9889514930060735,0.0,nan,nan
1.0,raw,nan,25.0,4.0,1.0,0.48013869359138034,1.0,1.0,0.0,nan,nan
1.0,raw,nan,26.0,4.0,2.0,0.4815738468235688,0.9995881064554498,0.9996274401245662,0.0,nan,nan
1.0,raw,nan,27.0,4.0,3.0,0.48314180475793567,0.9985532334226215,0.9989439598065369,0.0,nan,nan
1.0,raw,nan,28.0,4.0,4.0,0.48439016151658626,0.9983416585006695,0.9987129032226006,0.0,nan,nan
1.0,raw,nan,29.0,4.0,5.0,0.48610242147040456,0.997749932941799,0.9969887669816474,0.0,nan,nan
1.0,raw,nan,30.0,4.0,6.0,0.487179211066972,0.9971862810581611,0.9982015345199389,0.0,nan,nan
1.0,raw,nan,31.0,4.0,7.0,0.4877642272489412,0.9962149750277906,0.9962196211809711,0.0,nan,nan
1.0,raw,nan,32.0,4.0,8.0,0.4882303950489869,0.9937041782831734,0.994541125619801,0.0,nan,nan
1.0,raw,nan,33.0,5.0,1.0,0.4898053814075231,1.0,1.0,0.0,nan,nan
1.0,raw,nan,34.0,5.0,2.0,0.49105406348560043,0.998343509083814,0.998677207740679,0.0,nan,nan
1.0,raw,nan,35.0,5.0,3.0,0.49289105139514167,0.9959351862219892,0.9968557497910061,0.0,nan,nan
1.0,raw,nan,36.0,5.0,4.0,0.49387470305612385,0.9941172414587189,0.9949690129400312,0.0,nan,nan
1.0,raw,nan,37.0,5.0,5.0,0.4942419040159227,0.9953254588880306,0.9960953947303492,0.0,nan,nan
1.0,raw,nan,38.0,5.0,6.0,0.4962737314738138,0.9949649016347129,0.9938271967011714,0.0,nan,nan
1.0,raw,nan,39.0,5.0,7.0,0.49765269984178573,0.9937522913771625,0.9915945394293846,0.0,nan,nan
1.0,raw,nan,40.0,5.0,8.0,0.49932189607807514,0.9886314467165643,0.9922732754895198,0.0,nan,nan
1.0,ppo,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
1.0,ppo,nan,1.0,1.0,1.0,0.4397960632771345,1.0,1.0,1.0,nan,nan
1.0,ppo,nan,2.0,1.0,2.0,0.4423738038073789,0.9976481310277491,0.9979800418093618,1.0,nan,nan
1.0,ppo,nan,3.0,1.0,3.0,0.44451883644502826,0.9977454406863164,0.9977598787597874,1.0,nan,nan
1.0,ppo,nan,4.0,1.0,4.0,0.4469374727492656,0.9964948581534049,0.9974108562588743,1.0,nan,nan
1.0,ppo,nan,5.0,1.0,5.0,0.4484140635916759,0.9951864079922795,0.993411452337356,1.0,nan,nan
1.0,ppo,nan,6.0,1.0,6.0,0.45033700481776423,0.993239967183184,0.9943952598395003,1.0,nan,nan
1.0,ppo,nan,7.0,1.0,7.0,0.45322834631253306,0.994402673108716,0.9939947789996115,1.0,nan,nan
1.0,ppo,nan,8.0,1.0,8.0,0.45503463824280205,0.9894067656195172,0.9897446593116676,1.0,nan,nan
1.0,ppo,nan,9.0,2.0,1.0,0.455757766267804,1.0,1.0,1.0,nan,nan
1.0,ppo,nan,10.0,2.0,2.0,0.4572638316316905,0.9983098982161287,0.997783873659169,1.0,nan,nan
1.0,ppo,nan,11.0,2.0,3.0,0.4592546590503931,0.9986691179142805,0.9985362706072294,1.0,nan,nan
1.0,ppo,nan,12.0,2.0,4.0,0.4608605323685371,0.9978837734464588,0.9980931791719695,1.0,nan,nan
1.0,ppo,nan,13.0,2.0,5.0,0.46189111570444435,0.9954930908347449,0.9965537684553736,1.0,nan,nan
1.0,ppo,nan,14.0,2.0,6.0,0.4633580613667795,0.992931559170009,0.9949602547085675,1.0,nan,nan
1.0,ppo,nan,15.0,2.0,7.0,0.4645598244534061,0.9899197045156005,0.9864825130092646,1.0,nan,nan
1.0,ppo,nan,16.0,2.0,8.0,0.4671656496615298,0.9912424118116905,0.9914312349530945,1.0,nan,nan
1.0,ppo,nan,17.0,3.0,1.0,0.4679093416833086,1.0,1.0,1.0,nan,nan
1.0,ppo,nan,18.0,3.0,2.0,0.4692801733798733,0.995820173311511,0.9966279059343586,1.0,nan,nan
