path_scale,population_rho,population_value,signal_sq,current_min_shifted_logit,rollout_min_shifted_logit,gradient_check_max_abs,raw_alignment,raw_mean_norm_sq,raw_single_variance,raw_variance,raw_second_moment,raw_bias_sq,raw_mse,raw_mse_identity_error,raw_certificate,raw_certificate_identity_error,ppo_alignment,ppo_mean_norm_sq,ppo_single_variance,ppo_variance,ppo_second_moment,ppo_bias_sq,ppo_mse,ppo_mse_identity_error,ppo_certificate,ppo_certificate_identity_error,mse_reduction,mse_tie,certificate_requirement,certificate_gap_ppo_minus_raw,certificate_tie,mse_oracle,certificate_oracle,safe_oracle,ppo_lower_mse_raw_higher_certificate
1.8175000000000001,0.2853700001707814,0.9288302563391319,5.061563651926369e-05,-26.189053324431995,-3.166753727259008,0.0,5.06156365192637e-05,5.061563651926371e-05,0.5470672674933501,0.001709585210916719,0.0017602008474359827,4.344148904959242e-35,0.001709585210916719,0.0,-0.00013895514332760953,-2.710505431213761e-20,1.0309928025537456e-05,4.374011450809684e-06,0.037505618366950905,0.00011720505739672157,0.00012157906884753126,3.4369791918998465e-05,0.00015157484931572004,0.0,-8.439435081294182e-06,-1.6940658945086007e-21,0.001558010361600999,0.0,2.2531441056112404e-05,0.00013051570824631535,0.0,ppo,ppo,noop,0.0
1.82,0.2853099442664366,0.9289143956315882,5.06011193426703e-05,-26.220720861704592,-3.166753727259008,0.0,5.0601119342670294e-05,5.060111934267029e-05,0.5463381322989622,0.001707306663434257,0.0017579077827769272,2.9391081789826323e-35,0.001707306663434257,-2.168404344971009e-19,-0.000138765380817511,-2.710505431213761e-20,1.032443269783243e-05,4.367138672621547e-06,0.037449559746475534,0.00011702987420773605,0.00012139701288035759,3.431939261962699e-05,0.00015134926682736305,-2.710505431213761e-20,-8.421707311404092e-06,-1.6940658945086007e-21,0.001555957396606894,0.0,2.2502414182106708e-05,0.0001303436735061069,0.0,ppo,ppo,noop,0.0
1.8225,0.28525012171971525,0.9289981877854526,5.058717027796537e-05,-26.25238839897717,-3.166753727259008,0.0,5.058717027796536e-05,5.058717027796536e-05,0.54561113309314,0.0017050347909160625,0.0017556219611940278,3.8094883792196187e-35,0.0017050347909160625,-2.168404344971009e-19,-0.0001385761289243723,-2.710505431213761e-20,1.0338792300145642e-05,4.360279812889372e-06,0.03739357945805329,0.00011685493580641655,0.00012121521561930592,3.4269865490563454e-05,0.00015112480129698,0.0,-8.404025891063236e-06,-1.6940658945086007e-21,0.0015539099896190824,0.0,2.247348334485812e-05,0.00013017210303330906,0.0,ppo,ppo,noop,0.0
1.825,0.28519053126651656,0.9290816346485448,5.057377914369892e-05,-26.284055936249764,-3.166753727259008,0.0,5.057377914369892e-05,5.057377914369891e-05,0.5448862597910886,0.001702769561847152,0.0017533433409908509,4.242798395122844e-35,0.001702769561847152,0.0,-0.00013838738588357663,0.0,1.0353007704878303e-05,4.353434843043576e-06,0.03733767764764812,0.00011668024264890038,0.00012103367749194395,3.4221198576985886e-05,0.00015090144122588626,0.0,-8.386390707806935e-06,1.6940658945086007e-21,0.0015518681206212657,0.0,2.2444647965151547e-05,0.0001300009951757697,0.0,ppo,ppo,noop,0.0
1.8275000000000001,0.28513117165120905,0.9291647380570457,5.056093589479855e-05,-26.315723473522358,-3.166753727259008,0.0,5.056093589479855e-05,5.0560935894798546e-05,0.5441635023708797,0.0017005109449089993,0.0017510718808037978,2.7977219379274867e-35,0.0017005109449089993,0.0,-0.00013819914993522497,0.0,1.0367079779825506e-05,4.3466037345372216e-06,0.03728185445889332,0.00011650579518404163,0.00012085239891857885,3.417338006968477e-05,0.0001506791752537264,0.0,-8.368801649344888e-06,-1.6940658945086007e-21,0.0015498317696552729,0.0,2.2415907468448308e-05,0.00012983034828588008,0.0,ppo,ppo,noop,0.0
1.83,0.2850720416265642,0.9292474998355795,5.0548630620850886e-05,-26.347391010794954,-3.166753727259008,0.0,5.054863062085089e-05,5.05486306208509e-05,0.5434428508729968,0.001698258908978115,0.001748807539598966,4.1375308442387515e-35,0.001698258908978115,2.168404344971009e-19,-0.00013801141932416508,0.0,1.0233182828016844e-05,4.252786650082356e-06,0.03720082032802455,0.00011625256352507671,0.00012050535017515906,3.4335051614899545e-05,0.00015058761513997627,0.0,-8.362470608230305e-06,0.0,0.0015476712938381387,0.0,2.2389544238906195e-05,0.00012964894871593478,0.0,ppo,ppo,noop,0.0
1.8325,0.2850131399536904,0.9293299217972958,5.053685354440535e-05,-26.37905854806753,-3.166753727259008,0.0,5.0536853544405347e-05,5.053685354440534e-05,0.542724295399882,0.0016960134231246312,0.0017465502766690366,3.8360107408792003e-35,0.0016960134231246312,2.168404344971009e-19,-0.00013782419230001894,0.0,1.0247019606247739e-05,4.2461677444395965e-06,0.03714523589268523,0.00011607886216464134,0.00012032502990908093,3.4288982076349463e-05,0.0001503678442409908,0.0,-8.345001886288315e-06,0.0,0.0015456455788836402,0.0,2.236098578092707e-05,0.00012947919041373063,0.0,ppo,ppo,noop,0.0
1.835,0.28495446540196795,0.9294120057439492,5.0525595019297846e-05,-26.410726085340123,-3.166753727259008,0.0,5.052559501929784e-05,5.0525595019297825e-05,0.5420078261154893,0.001693774456610904,0.0017443000516302017,2.2215499277147886e-35,0.001693774456610904,-2.168404344971009e-19,-0.0001376374671172102,-2.710505431213761e-20,1.0260717197618527e-05,4.239562362487364e-06,0.03708973032022766,0.00011590540725071143,0.0001201449696131988,3.4243722986548156e-05,0.0001501491302372596,0.0,-8.327578619733754e-06,0.0,0.0015436253263736443,0.0,2.2332520520980104e-05,0.00012930988849747644,0.0,ppo,ppo,noop,0.0
1.8375000000000001,0.28489601674898435,0.9294937534659821,5.051484552899847e-05,-26.44239362261272,-3.166753727259008,0.0,5.0514845528998465e-05,5.0514845528998465e-05,0.5412934332448386,0.0016915419788901206,0.001742056824419119,6.392222686356215e-35,0.0016915419788901206,0.0,-0.00013745124203498968,-5.421010862427522e-20,1.0274276440716062e-05,4.232970475303805e-06,0.03703430374487364,0.00011573219920273013,0.00011996516967803393,3.419926312287014e-05,0.00014993146232560026,0.0,-8.31020069874474e-06,1.6940658945086007e-21,0.0015416105165645204,0.0,2.2304147902815e-05,0.00012914104133624494,0.0,ppo,ppo,noop,0.0
1.84,0.2848377927804702,0.9295751667426021,5.05045956849775e-05,-26.474061159885302,-3.166753727259008,0.0,5.05045956849775e-05,5.050459568497751e-05,0.5405811070735752,0.0016893159596049225,0.0017398205552899,5.025090820673237e-35,0.0016893159596049225,0.0,-0.00013726551531746074,0.0,1.0287698169646945e-05,4.22639205399986e-06,0.03697895629859727,0.00011555923843311648,0.00011978563048711634,3.415559139968347e-05,0.00014971482983279995,-2.710505431213761e-20,-8.292868013674938e-06,0.0,0.0015396011297721226,0.0,2.227586737464266e-05,0.0001289726473037858,0.0,ppo,ppo,noop,0.0
1.8425,0.2847797922902359,0.9296562473418624,5.0494836225094345e-05,-26.5057286971579,-3.166753727259008,0.0,5.049483622509434e-05,5.049483622509433e-05,0.5398708379475311,0.0016870963685860346,0.001737591204811129,4.369344153152584e-35,0.0016870963685860346,-2.168404344971009e-19,-0.00013708028523360316,-5.421010862427522e-20,1.0327657747989902e-05,4.238093578612067e-06,0.03691795352867806,0.00011536860477711895,0.00011960669835573102,3.40776143077266e-05,0.00014944621908484555,2.710505431213761e-20,-8.271074784752166e-06,0.0,0.001537650149501189,0.0,2.2247673632353765e-05,0.000128809210448851,0.0,ppo,ppo,noop,0.0
1.845,0.2847220140801082,0.9297369970207403,5.0485558012005664e-05,-26.537396234430485,-3.166753727259008,0.0,5.0485558012005664e-05,5.0485558012005664e-05,0.5391626162722917,0.0016848831758509114,0.001735368733862917,4.2051882144321114e-35,0.0016848831758509114,-2.168404344971009e-19,-0.000136895550057297,0.0,1.0340809098608795e-05,4.231512396480515e-06,0.03686277510012643,0.00011519617218789509,0.0001194276845843756,3.403545221126859e-05,0.00014923162439916366,2.710505431213761e-20,-8.253832110563402e-06,1.6940658945086007e-21,0.0015356515514517478,0.0,2.2219575607823238e-05,0.0001286417179467336,0.0,ppo,ppo,noop,0.0
1.8475000000000001,0.2846644569598686,0.9298174175252154,5.047675203159453e-05,-26.569063771703078,-3.166753727259008,0.0,5.047675203159454e-05,5.0476752031594545e-05,0.5384564325127636,0.0016826763516023864,0.001733153103633981,5.233191922069055e-35,0.0016826763516023864,0.0,-0.00013671130806734445,0.0,1.0264638650805568e-05,4.178620612290269e-06,0.03677059557978459,0.00011490811118682685,0.00011908673179911712,3.412609534227366e-05,0.0001490342065291005,0.0,-8.238198595436674e-06,0.0,0.0015336421450732858,0.0,2.219379834495918e-05,0.00012847310947190776,0.0,ppo,ppo,noop,0.0
1.85,0.2846071197471908,0.9298975105903459,5.046840939141864e-05,-26.60073130897566,-3.166753727259008,0.0,5.0468409391418625e-05,5.0468409391418625e-05,0.5377522771927483,0.0016804758662273384,0.001730944275618757,3.884000313945768e-35,0.0016804758662273384,0.0,-0.000136527557547492,0.0,1.0272836258400438e-05,4.160235783728142e-06,0.03668575095448806,0.0001146429717327752,0.00011880320751650334,3.408297265834589e-05,0.00014872594439112107,0.0,-8.213036812888032e-06,1.6940658945086007e-21,0.0015317499218362174,0.0,2.2167324958523546e-05,0.000128314520734604,0.0,ppo,ppo,noop,0.0
1.8525,0.2845500012675798,0.9299772779403469,5.046052131918051e-05,-26.63239884624825,-3.166753727259008,0.0,5.046052131918051e-05,5.0460521319180514e-05,0.5370501408945175,0.0016782816902953673,0.0017287422116145478,1.4681003296588174e-35,0.0016782816902953673,0.0,-0.00013634429678645112,0.0,1.0285609539767078e-05,4.153823809201925e-06,0.03663099080770835,0.00011447184627408859,0.00011862567008329051,3.404312604884828e-05,0.00014851497232293688,-2.710505431213761e-20,-8.195982173714077e-06,-1.6940658945086007e-21,0.0015297667179724303,0.0,2.2139487234347665e-05,0.00012814831461273703,0.0,ppo,ppo,noop,0.0
1.855,0.28449310035431097,0.9300567212886653,5.0453079161214265e-05,-26.664066383520847,-3.166753727259008,0.0,5.045307916121427e-05,5.0453079161214286e-05,0.5363500142583915,0.0016760937945574732,0.0017265468737186875,2.9794818967734627e-35,0.0016760937945574732,0.0,-0.00013616152407791788,-2.710505431213761e-20,1.029825089595096e-05,4.147424922187193e-06,0.036576310270895675,0.00011430096959654898,0.00011844839451873618,3.400400229149953e-05,0.0001483049718880485,0.0,-8.178971914592849e-06,1.6940658945086007e-21,0.0015277888226694247,0.0,2.211173839501236e-05,0.00012798255216332503,0.0,ppo,ppo,noop,0.0
1.8575,0.28443641584837004,0.9301358423380566,5.044607438099291e-05,-26.695733920793437,-3.166753727259008,0.0,5.044607438099292e-05,5.044607438099292e-05,0.5356518879823227,0.0016739121499447583,0.0017243582243257512,2.277431301457963e-35,0.0016739121499447583,0.0,-0.00013597923772059293,0.0,1.0328865486298332e-05,4.139763838561758e-06,0.03651539276148524,0.00011411060237964137,0.00011825036621820313,3.3928107246958016e-05,0.0001480387096265994,-2.710505431213761e-20,-8.15716647828737e-06,-1.6940658945086007e-21,0.001525873440318159,0.0,2.208436687926992e-05,0.00012782207124230555,0.0,ppo,ppo,noop,0.0
1.86,0.28437994659839333,0.930214642780659,5.0439498557655354e-05,-26.72740145806602,-3.166753727259008,0.0,5.043949855765535e-05,5.043949855765534e-05,0.534955752821481,0.0016717367275671281,0.0017221762261247836,2.9040423333980657e-35,0.0016717367275671281,2.168404344971009e-19,-0.00013579743601819936,2.710505431213761e-20,1.034127437249408e-05,4.133404914334896e-06,0.036460882872711355,0.00011394025897722298,0.00011807366389155788,3.389035472700209e-05,0.00014783061370422508,0.0,-8.140243794302945e-06,0.0,0.001523906113862903,0.0,2.205679358176909e-05,0.0001276571922238964,0.0,ppo,ppo,noop,0.0
1.8625,0.28432369146060854,0.9302931242980682,5.0433343384550676e-05,-26.759068995338616,-3.166753727259008,0.0,5.043334338455066e-05,5.0433343384550656e-05,0.534261599587843,0.0016695674987120095,0.0017200008420965602,3.493157797821398e-35,0.0016695674987120095,2.168404344971009e-19,-0.00013561611727950067,0.0,1.0458293042113501e-05,4.116689812567378e-06,0.03720674306796567,0.00011627107208739271,0.00012038776189996009,3.363344711289105e-05,0.00014990451920028375,0.0,-8.314344302127221e-06,0.0,0.0015196629795117258,0.0,2.1995062130861706e-05,0.00012730177297737345,0.0,ppo,ppo,noop,0.0
1.865,0.28426764929877624,0.9303712885614119,5.0427600667801614e-05,-26.79073653261121,-3.166753727259008,0.0,5.0427600667801614e-05,5.042760066780161e-05,0.5335694191497837,0.0016674044348430742,0.0017178320355108758,3.0547268195253824e-35,0.0016674044348430742,-2.168404344971009e-19,-0.00013543527981831776,-2.710505431213761e-20,1.0470645367111602e-05,4.1105144057890336e-06,0.03715136424243142,0.0001160980132575982,0.00012020852766338723,3.359682433936744e-05,0.00014969483759696563,0.0,-8.297218980423708e-06,0.0,0.0015177095972461086,0.0,2.1967705035590156e-05,0.00012713806083789405,0.0,ppo,ppo,noop,0.0
1.8675,0.28421181898413134,0.9304491372314221,5.042226232488733e-05,-26.822404069883795,-3.166753727259008,0.0,5.0422262324887343e-05,5.042226232488736e-05,0.5328792024316718,0.0016652475075989743,0.0017156697699238616,3.5015983661422904e-35,0.0016652475075989743,0.0,-0.00013525492195354486,0.0,1.0482866482774425e-05,4.10435125502169e-06,0.037096063950717635,0.0001159251998459926,0.0001200295511010143,3.3560880614360164e-05,0.00014948608046035276,2.710505431213761e-20,-8.280137565452233e-06,1.6940658945086007e-21,0.0015157614271386216,0.0,2.1940434337531676e-05,0.0001269747843880926,0.0,ppo,ppo,noop,0.0
1.87,0.2841561993953263,0.9305266719585086,5.041732038324103e-05,-26.854071607156385,-3.166753727259008,0.0,5.0417320383241016e-05,5.0417320383241016e-05,0.5321909404134693,0.0016630966887920915,0.0017135140091753326,4.0294891110438265e-35,0.0016630966887920915,2.168404344971009e-19,-0.00013507504200916553,0.0,1.0504907715180384e-05,4.102109649646338e-06,0.03701139893774994,0.00011566062168046857,0.0001197627313301149,3.3509614602526594e-05,0.00014917023628299516,0.0,-8.254022726444037e-06,1.6940658945086007e-21,0.0015139264525090962,0.0,2.191446094766705e-05,0.0001268210192827215,0.0,ppo,ppo,noop,0.0
1.8725,0.2841007894183733,0.9306038943828313,5.0412766978868855e-05,-26.885739144428978,-3.166753727259008,0.0,5.041276697886884e-05,5.0412766978868835e-05,0.5315046241303325,0.001660951950407289,0.0017113647173861578,4.7085276486388173e-35,0.001660951950407289,-2.168404344971009e-19,-0.00013489563831426706,-2.710505431213761e-20,1.0055771063986316e-05,3.8552946728028385e-06,0.0379162419754086,0.00011848825617315187,0.00012234355084595472,3.415651952369906e-05,0.00015264477569685095,0.0,-8.546729230758954e-06,-1.6940658945086007e-21,0.0015083071747104381,0.0,2.184942078681334e-05,0.0001263489090835081,0.0,ppo,ppo,noop,0.0
