initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,initial_gradient_signal_sq,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,raw_peak_drop,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,transition_visible
0.8,32,1,120,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.7891946838373856,0.7867810403819,0.002413643455485559,0.0003335106538504551,20,-1,0.0,0.9872028038687094,31.5904897237987,0.994820173960933,0.0
1.25,32,4,478,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8758089651085118,0.8756580841357776,0.00015088097273419088,-0.00017974247435148527,120,-1,0.00046519223280683253,0.9894014454026892,31.660846252886053,0.9968120193412333,0.0
1.0,16,2,478,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8486077211428484,0.8455576871850432,0.0030500339578052316,0.00019029199394637875,140,-1,0.0,0.9792198769949692,15.667518031919506,0.9928374342234024,0.0
1.25,32,1,120,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8724636496044476,0.8726313934528306,-0.00016774384838302847,-0.00022471077838492892,20,40,0.00015067439898797108,0.993015508866518,31.776496283728576,0.9968120193412333,0.0
1.0,32,2,239,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8423328008756231,0.8409164174677373,0.0014163834078858573,-8.891958916168452e-05,40,-1,0.0,0.9887072171538931,31.63863094892458,0.9961625746499078,0.0
1.0,32,1,120,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8375817230356246,0.8371413099145196,0.00044041312110498776,-0.0001418723933910293,20,-1,0.0,0.9902038630172054,31.686523616550573,0.9964403832389805,0.0
1.25,32,2,239,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.873964292331997,0.8740001131754065,-3.582084340947311e-05,-0.00022471077838492892,20,40,0.0,0.9917826985755029,31.737046354416094,0.9968120193412333,0.0
1.25,16,2,478,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8756591929851585,0.8757144662339323,-5.52732487738572e-05,-0.0004719090551218441,20,478,0.00021347530742188425,0.9827014189133867,15.723222702614187,0.9941723244054355,0.0
1.25,8,2,956,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8776425228433359,0.8777729663042092,-0.0001304434608733196,-0.001685512832968361,220,920,0.0012688355148050556,0.9465175665817589,7.572140532654071,0.9873259923382318,0.0
1.0,16,1,239,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8411167204141207,0.8402873869524083,0.0008293334617123227,-0.00036855816245073836,20,-1,0.0,0.9813288251654908,15.701261202647853,0.9933041960505797,0.0
1.0,8,1,478,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.846529020778843,0.8454440803931217,0.001084940385721267,-0.0005690151377708563,40,-1,0.0,0.9457515576889579,7.566012461511663,0.9813685264887634,0.0
0.8,4,1,956,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8366806406300561,0.8224219661172723,0.014258674512783842,-0.006676350001615705,20,-1,0.0,0.7278350658396773,2.911340263358709,0.9301354185555386,0.0
