replication,method,threshold,final_value,ppo_fraction
56.0,ppo,nan,0.5866220896637772,1.0
56.0,mse_oracle,nan,0.5728283356257511,0.625
57.0,raw,nan,0.5333937155209066,0.0
57.0,ppo,nan,0.5713268530106662,1.0
57.0,mse_oracle,nan,0.5583453466070135,0.5
58.0,raw,nan,0.5467492579278888,0.0
58.0,ppo,nan,0.5626590428809514,1.0
58.0,mse_oracle,nan,0.5760055722999411,0.5625
59.0,raw,nan,0.5181380611403994,0.0
59.0,ppo,nan,0.5585605164822927,1.0
59.0,mse_oracle,nan,0.5289484990694057,0.6875
60.0,raw,nan,0.5130980672755496,0.0
60.0,ppo,nan,0.5693385196091163,1.0
60.0,mse_oracle,nan,0.5979622535574912,0.6875
61.0,raw,nan,0.40626169828312875,0.0
61.0,ppo,nan,0.556829863277934,1.0
61.0,mse_oracle,nan,0.5499872188917311,0.625
62.0,raw,nan,0.5776890570331303,0.0
62.0,ppo,nan,0.5726305289262241,1.0
62.0,mse_oracle,nan,0.5596528510573509,0.6875
63.0,raw,nan,0.6128079102757292,0.0
63.0,ppo,nan,0.5690274777981289,1.0
63.0,mse_oracle,nan,0.5794744564931827,0.6875
64.0,raw,nan,0.5676722241930409,0.0
64.0,ppo,nan,0.5558069811080372,1.0
64.0,mse_oracle,nan,0.5582638311152436,0.6875
65.0,raw,nan,0.5750739951691101,0.0
65.0,ppo,nan,0.5570060901371802,1.0
65.0,mse_oracle,nan,0.5686667819353618,0.6875
66.0,raw,nan,0.5928255659871299,0.0
66.0,ppo,nan,0.5710309074977122,1.0
66.0,mse_oracle,nan,0.5679357957481799,0.5625
67.0,raw,nan,0.4433706212279723,0.0
67.0,ppo,nan,0.5148336121040143,1.0
67.0,mse_oracle,nan,0.5600055026436599,0.75
68.0,raw,nan,0.49555378186268323,0.0
68.0,ppo,nan,0.5519747436832727,1.0
68.0,mse_oracle,nan,0.5556761660773561,0.75
69.0,raw,nan,0.5732968432330652,0.0
69.0,ppo,nan,0.5513180194431877,1.0
69.0,mse_oracle,nan,0.5955216568879479,0.5625
70.0,raw,nan,0.5942078306971537,0.0
70.0,ppo,nan,0.5463382772401839,1.0
70.0,mse_oracle,nan,0.5854349314982832,0.5625
71.0,raw,nan,0.49521173567867927,0.0
71.0,ppo,nan,0.5806777839697597,1.0
71.0,mse_oracle,nan,0.5944165970045932,0.6875
72.0,raw,nan,0.10160146817430644,0.0
72.0,ppo,nan,0.5760886957962345,1.0
72.0,mse_oracle,nan,0.5621403752235756,0.6875
73.0,raw,nan,0.531154966068308,0.0
73.0,ppo,nan,0.5474912097416523,1.0
73.0,mse_oracle,nan,0.5738388346296003,0.625
74.0,raw,nan,0.4412055124389047,0.0
74.0,ppo,nan,0.5673040012466695,1.0
74.0,mse_oracle,nan,0.5569908351017161,0.6875
