delta,rho,is_mean,tis_mean,ppo_mean,is_tilted_second_moment_M2,is_single_second_moment,tis_single_second_moment,ppo_single_second_moment,is_variance,is_second_moment,is_mse,is_certificate,is_expected_gain,tis_variance,tis_second_moment,tis_mse,tis_certificate,tis_expected_gain,ppo_variance,ppo_second_moment,ppo_mse,ppo_certificate,ppo_expected_gain,is_finite_moment_mse_bound,is_finite_moment_error_radius,tis_mse_reduction_vs_is,tis_second_moment_reduction_vs_is,tis_discounted_second_moment_reduction_vs_is,tis_crossover_margin,tis_certificate_gap_vs_is,tis_certificate_identity_error,tis_alignment_loss_vs_is,tis_smoothness_penalty_reduction_vs_is,ppo_mse_reduction_vs_is,ppo_second_moment_reduction_vs_is,ppo_discounted_second_moment_reduction_vs_is,ppo_crossover_margin,ppo_certificate_gap_vs_is,ppo_certificate_identity_error,ppo_alignment_loss_vs_is,ppo_smoothness_penalty_reduction_vs_is,oracle_expected_gain,oracle_rule,mc_error_event_coverage,mc_theorem_inequality_coverage,mc_positive_certificate_fraction,mc_error_event_theorem_violations
2.000019538360934,0.01831420750742353,2.0,1.238680866002665,0.216437154769142,20.500195383036704,1119.360222096812,2.064362040574937,30.860098516866714,34.85500694052538,38.85500694052538,34.85500694052538,-1.5084005552420305,-1.5084005552420305,0.016563492274182037,1.550893780075294,0.5961703160646343,0.8668731903961084,0.8668731903961084,0.9629141710906922,1.0097592130552537,4.1440105939786855,0.09236898677089328,0.09236898677089328,34.98000694052538,18.702942800673206,34.25883662446074,37.304113160450086,22.38246789627005,11.876368728190691,2.3752737456381388,4.440892098500626e-16,1.5226382679946702,7.460822632090018,30.710996346546693,37.845247727470124,22.707148636482074,8.003847710064619,1.6007695420129238,-2.220446049250313e-16,3.567125690461716,7.569049545494025,0.8668731903961084,TIS 3,0.99363,0.99363,0.0076,0.0
1.9837253320934722,0.019542451235278185,2.0,1.240642487457265,0.212406736555662,20.336856180419538,1040.6502201580163,2.0617579827344192,27.43131964850099,32.39531937993801,36.39531937993801,32.39531937993801,-1.3116255503950414,-1.3116255503950414,0.016330131282820917,1.555523912966971,0.5929539631379108,0.8680720769284543,0.8680720769284543,0.8558188445864613,0.9009354663206877,4.05130852009804,0.09785055193887457,0.09785055193887457,32.52031937993801,18.033391078756654,31.802365416800097,34.83979546697104,20.903877280182623,10.898488136617473,2.179697627323496,8.881784197001252e-16,1.51871502508547,6.967959093394208,28.34401085983997,35.49438391361732,21.296630348170392,7.0473805116695765,1.409476102333916,6.661338147750939e-16,3.575186526888676,7.0988767827234645,0.8680720769284543,TIS 3,0.99413,0.99413,0.00691,0.0
1.9672961730642462,0.020853067222724356,2.0,1.2426751737964947,0.20838490107810465,20.171359956905526,967.3090170123296,2.0602944143258464,24.36968361935265,30.1034067816353,34.1034067816353,30.1034067816353,-1.1282725425308247,-1.1282725425308247,0.016126650836115565,1.5603682384062638,0.589667543220285,0.8693106799646947,0.8693106799646947,0.7601956047611037,0.8036198717584352,3.9700802674460163,0.10241833112180891,0.10241833112180891,30.2284067816353,17.386318408920072,29.513739238415017,32.54303854322904,19.52582312593742,9.987916112477595,1.9975832224955195,2.220446049250313e-16,1.5146496524070105,6.508607708645808,26.133326514189285,33.299786909876865,19.97987214592612,6.153454368263166,1.2306908736526336,4.440892098500626e-16,3.5832301978437906,6.6599573819753735,0.8693106799646947,TIS 3,0.99315,0.99315,0.00794,0.0
1.95072865153437,0.022251579771654498,2.0,1.2447852877137706,0.2043722669685809,20.00365799038004,898.9769803158872,2.0600142182842665,21.63727123315365,27.968030634871475,31.968030634871475,27.968030634871475,-0.9574424507897183,-0.9574424507897183,0.01595386893048787,1.5654442814391425,0.5863031305840601,0.8705926876558852,0.8705926876558852,0.6748594753014929,0.7166274988073699,3.899138430933047,0.10616761367027513,0.10616761367027513,28.09303063487148,16.760975697993086,27.381727504287415,30.402586353432334,18.2415518120594,9.140175692228016,1.8280351384456035,2.220446049250313e-16,1.5104294245724588,6.080517270686467,24.06889220393843,31.251403136064106,18.75084188163846,5.3180503222999675,1.0636100644599935,0.0,3.5912554660628384,6.250280627212821,0.8705926876558852,TIS 3,0.99244,0.99244,0.00861,0.0
1.9340192117145512,0.023743883671690256,2.0,1.246979568254201,0.20036946986217036,19.83370333409593,835.3184175065505,2.0609631448253785,19.19994735472525,25.978700547079704,29.978700547079704,25.978700547079704,-0.7982960437663769,-0.7982960437663769,0.01581265941193577,1.5707707030553695,0.5828524300385651,0.8719219983589314,0.8719219983589314,0.5987437321960126,0.6388916566488598,3.8374137772001786,0.1091842433578275,0.1091842433578275,26.103700547079704,16.156639671379597,25.39584811704114,28.407929844024334,17.0447579064146,8.351090210626541,1.6702180421253083,0.0,1.5060408634915978,5.6815859688048675,22.141286769879525,29.339808890430845,17.603885334258507,4.5374014356210175,0.9074802871242044,7.771561172376096e-16,3.5992610602756594,5.867961778086169,0.8719219983589314,TIS 3,0.99311,0.99311,0.00815,0.0
1.9171641428539306,0.02533626904697024,2.0,1.249265153845642,0.19637716304643973,19.661450879252882,776.0199752695647,2.063190073550517,17.026995164984616,24.125624227173898,28.125624227173898,24.125624227173898,-0.650049938173912,-0.650049938173912,0.01570395777929816,1.576367382392274,0.5793067670097056,0.8733027324851318,0.8733027324851318,0.5308884742130765,0.5694524643792445,3.7839438121934856,0.11154553328681224,0.11154553328681224,24.250624227173898,15.572611928374089,23.546317460164193,26.549256844781624,15.929554106868974,7.6167633532952195,1.523352670659044,0.0,1.5014696923087159,5.309851368956325,20.341680414980413,27.556171762794655,16.533703057676792,3.8079773573036206,0.7615954714607243,1.1102230246251565e-16,3.6072456739071206,5.511234352558931,0.8733027324851318,TIS 3,0.99275,0.99275,0.00859,0.0
1.9001595696174358,0.027035447869289752,2.0,1.251649606957625,0.1923960181543306,19.48685742331969,720.7891475493292,2.0667473016677924,15.090784747486387,22.399660860916537,26.399660860916537,22.399660860916537,-0.5119728688733232,-0.5119728688733232,0.015628767595956723,1.582255506193134,0.5756570783626338,0.8747392450706495,0.8747392450706495,0.4704302662401483,0.5074464940417898,3.7378624214244676,0.11332109500012132,0.11332109500012132,22.52466086091654,15.00821803576845,21.824003782553902,24.8174053547234,14.89044321283404,6.933560569719862,1.3867121139439726,0.0,1.4967007860847499,4.963481070944681,18.66179843949207,25.892214366874747,15.535328620124847,3.126469819367223,0.6252939638734445,-2.220446049250313e-16,3.615207963691339,5.17844287337495,0.8747392450706495,TIS 3,0.99259,0.99259,0.00894,0.0
1.8830014416809644,0.028848582249346177,2.0,1.2541409405210344,0.1884267259048697,19.309881744792108,669.3528845851602,2.071690861221933,13.366472868653844,20.792277643286255,24.792277643286255,20.792277643286255,-0.38338221146290064,-0.38338221146290064,0.015588167579092135,1.588457666270077,0.5718939041859392,0.8762361391152214,0.8762361391152214,0.4165927574255817,0.4520973884608106,3.698390484841332,0.1145735896470309,0.1145735896470309,20.91727764328625,14.462806658213422,20.220383739100317,23.203819977016177,13.922291986209705,6.2980917528906115,1.259618350578122,-4.440892098500626e-16,1.4917181189579312,4.640763995403236,17.09388715844492,24.340180254825444,14.604108152895266,2.4897790055496554,0.49795580110993154,4.440892098500626e-16,3.6231465481902605,4.868036050965089,0.8762361391152214,TIS 3,0.99247,0.99247,0.0093,0.0
1.865685522465258,0.03078331462533876,2.0,1.256747646253108,0.18446999689674048,19.13048468517639,621.4562959841062,2.0780808685327603,11.83173109374971,19.29550924950332,23.29550924950332,19.29550924950332,-0.2636407399602658,-0.2636407399602658,0.015583319442813541,1.5949979658055404,0.5680073807931086,0.8777982797380431,0.8777982797380431,0.36867818481233205,0.4027073645674155,3.664827376980454,0.11535940835199915,0.11535940835199915,19.420509249503322,13.935748723876776,18.72750186871021,21.70051128369778,13.020306770218667,5.7071950984915425,1.1414390196983089,2.220446049250313e-16,1.486504707493784,4.340102256739556,15.630681872522864,22.892801884935903,13.735681130961542,1.8950007415613221,0.379000148312265,4.996003610813204e-16,3.631060006206519,4.5785603769871805,0.8777982797380431,TIS 3,0.99211,0.99211,0.00969,0.0
1.8482073769196832,0.032847799976169385,2.0,1.2594787250456203,0.1805265624604653,18.948629239099716,576.8614413399582,2.08598190949095,10.46649963616596,17.901920041873694,21.901920041873694,17.901920041873694,-0.1521536033498958,-0.1521536033498958,0.015615476582762772,1.601902135425304,0.5639872352428228,0.8794308092024721,0.8794308092024721,0.32605968113788025,0.3586495208916725,3.6365432710498116,0.11572928829703844,0.11572928829703844,18.026920041873694,13.426436624016699,17.33793280663087,20.30001790644839,12.180010743869033,5.157922062761838,1.0315844125523679,2.220446049250313e-16,1.4810425499087594,4.060003581289678,14.265376770823883,21.543270520982023,12.925962312589213,1.3394144582346694,0.26788289164693424,3.3306690738754696e-16,3.6389468750790694,4.308654104196405,0.8794308092024721,TIS 3,0.99179,0.99179,0.01016,0.0
