batch_size,ppo_epsilon,path_scale,population_rho,population_value,signal_sq,raw_risk,ppo_risk,risk_ratio,raw_bias_sq,ppo_bias_sq,raw_variance,ppo_variance
4,0.05,0.875,0.35433797756762575,0.8298119407866938,0.0007289795068387081,0.3035920745855093,0.013923535695935187,0.04586264550859843,5.300536339168833e-35,0.0007363391304027535,1.2143682983420372,0.052748786262129733
4,0.05,0.9,0.3497966534751488,0.8355879161656036,0.0006424378083131081,0.2949333728040701,0.01365029489124505,0.04628263923294026,4.2985529794671015e-35,0.0006499898656165263,1.1797334912162805,0.052001220102514095
4,0.05,0.925,0.34557330323265756,0.8410243226018375,0.0005666855049991165,0.28672441674662275,0.013326097526494359,0.046477023748802596,5.087382889455751e-35,0.0005738976546167532,1.146897666986491,0.05100879948751042
4,0.05,0.9500000000000001,0.3416403854677262,0.8461430044474721,0.0005003832686785385,0.2789386618820163,0.013050445027498784,0.04678607454214711,3.371891641515734e-35,0.0005050282650559974,1.1157546475280653,0.050181667049771145
4,0.05,0.9750000000000001,0.3379730786543516,0.8509644861702198,0.00044235256770598066,0.2715505007381436,0.012834394469305278,0.04726337986642675,3.605675069459311e-35,0.0004478612688008358,1.0862020029525743,0.049546132802017764
4,0.05,1.0,0.334548990630198,0.8555080182790066,0.00039155877787762247,0.2645354240123954,0.01256807563075848,0.047509991063312475,3.560557762668179e-35,0.0003963602412272129,1.0581416960495815,0.048686861558125065
4,0.05,1.0250000000000001,0.33134789967091516,0.8597916296064418,0.00034709523755604884,0.2578701219543634,0.012345763995559273,0.047875899317037465,3.559086722043191e-35,0.0003517551399808607,1.0314804878174535,0.04797603542231365
4,0.05,1.05,0.3283515240461651,0.8638321837534707,0.00030816848775713985,0.25153253942441584,0.012032313287235967,0.04783601085875258,4.820573932727018e-35,0.00031209777585531695,1.0061301576976633,0.0468808620455226
4,0.05,1.075,0.3255433171239088,0.867645437942855,0.00027408480948576397,0.24550189553164203,0.011844441299674168,0.04824582422887066,2.7131641266292376e-35,0.00027783231108767644,0.9820075821265681,0.046266435954345965
4,0.05,1.1,0.32290828528757987,0.8712461028973341,0.0002442380825503942,0.23975867664691186,0.01165223696842229,0.048599855201829974,3.7916812963075194e-35,0.0002486559137670185,0.9590347065876474,0.045614324218621084
4,0.05,1.125,0.32043282615569796,0.8746479026648124,0.00021809893206803623,0.23428460982850685,0.011556593521679079,0.04932715610358849,1.994847520469797e-35,0.00022262464800488363,0.9371384393140274,0.04533587549469678
4,0.05,1.1500000000000001,0.3181045848261808,0.8778636335654847,0.00019520509275632562,0.22906262224432006,0.01144587165866428,0.04996830799595064,4.260415493382453e-35,0.0001992120542384296,0.9162504889772802,0.044986638417703395
4,0.05,1.175,0.3159123260961061,0.880905221642413,0.00017515290062749763,0.22407679098276168,0.011482971779819426,0.05124569898317946,2.771082167130984e-35,0.00017859980400292854,0.8963071639310467,0.04521748790326599
4,0.05,1.2000000000000002,0.31384582082473955,0.8837837781648498,0.00015758981210429288,0.2193122866742497,0.011343357668016578,0.05172239932396111,2.7672653089742e-35,0.00016039796531390076,0.8772491466969988,0.044731838810810706
4,0.05,1.225,0.3118957448093416,0.8865096528687763,0.00014220784834452553,0.2147553135606338,0.011096510965007416,0.051670483868490824,2.2727011685105328e-35,0.00014423795151062886,0.8590212542425352,0.04380909205398715
4,0.05,1.25,0.31005358872775274,0.8890924847271389,0.0001287378651139199,0.21039304801962408,0.01094727053711914,0.05203247274642863,2.853191606134835e-35,0.00013003180623501312,0.8415721920784963,0.0432689549235365
4,0.05,1.2750000000000001,0.3083115778686141,0.8915412501277713,0.00011694455403936538,0.20621357704818383,0.010799480661080671,0.05237036676085235,1.4767304113076033e-35,0.00011851614901085842,0.8248543081927353,0.04272385804827925
4,0.05,1.3,0.3066626005197238,0.8938643084039246,0.0001066220882088881,0.20220583780983287,0.010787653265812021,0.053349860630420624,2.0858022369757418e-35,0.00010726829521499139,0.8088233512393315,0.04272153988238812
4,0.05,1.3250000000000002,0.3051001440183987,0.8960694447140912,9.75903329692667e-05,0.19835955903654306,0.010755221843223015,0.05422083964827538,2.1410008257556516e-35,9.74178712402067e-05,0.7934382361461723,0.04263121588793123
4,0.05,1.35,0.3036182375860235,0.8981639103071671,8.96915508130132e-05,0.19466520483022995,0.010546997929367977,0.05418019074629259,2.0113504930511717e-35,8.858533739178169e-05,0.7786608193209198,0.04183365036790478
