checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
15.0,16.0,1.0,15.0,2.0,test,0.04266423924961842,1.0,128.0,100.0,0.4859011051008116,0.47191493048368416,0.0009891606351892096,0.005708309940026051,0.004624819013732666,0.4859011051008116,0.4729040911188734,0.012997013981938199,2.674827006051296,1.0
15.0,16.0,1.0,15.0,2.0,test,0.04266423924961842,2.0,256.0,100.0,0.4859011051008116,0.47191493048368416,0.0009891606351892096,0.005708309940026051,0.004624819013732666,0.2429505525504058,0.2369466258770313,0.006003926673374488,2.471254586724528,1.0
15.0,16.0,1.0,15.0,2.0,test,0.04266423924961842,4.0,512.0,100.0,0.4859011051008116,0.47191493048368416,0.0009891606351892096,0.005708309940026051,0.004624819013732666,0.1214752762752029,0.11896789325611025,0.002507383019092646,2.0641097480710036,1.0
15.0,16.0,1.0,15.0,2.0,test,0.04266423924961842,8.0,1024.0,100.0,0.4859011051008116,0.47191493048368416,0.0009891606351892096,0.005708309940026051,0.004624819013732666,0.06073763813760145,0.05997852694564973,0.0007591111919517182,1.2498200707639433,1.0
16.0,18.0,5.0,8.0,2.0,fit,0.06352805188635263,1.0,128.0,100.0,0.03550478272591698,0.026735368302303476,0.0025848756549603164,0.0028522293379833513,0.0006943603855748982,0.03550478272591698,0.029320243957263792,0.006184538768653186,17.41888921387128,1.0
16.0,18.0,5.0,8.0,2.0,fit,0.06352805188635263,2.0,256.0,100.0,0.03550478272591698,0.026735368302303476,0.0025848756549603164,0.0028522293379833513,0.0006943603855748982,0.01775239136295849,0.015952559806112054,0.0017998315568464353,10.138530184738379,1.0
16.0,18.0,5.0,8.0,2.0,fit,0.06352805188635263,4.0,512.0,100.0,0.03550478272591698,0.026735368302303476,0.0025848756549603164,0.0028522293379833513,0.0006943603855748982,0.008876195681479244,0.009268717730536186,-0.00039252204905694185,-4.422187873527444,0.0
16.0,18.0,5.0,8.0,2.0,fit,0.06352805188635263,8.0,1024.0,100.0,0.03550478272591698,0.026735368302303476,0.0025848756549603164,0.0028522293379833513,0.0006943603855748982,0.004438097840739622,0.005926796692748251,-0.0014886988520086287,-33.54362399005905,0.0
17.0,0.0,4.0,5.0,3.0,test,0.12514345133179386,1.0,128.0,100.0,0.09144504160258742,0.024633434187989797,0.0033243031261867236,0.0035706374680666217,0.0008229828803624617,0.09144504160258742,0.02795773731417652,0.0634873042884109,69.42673235835079,1.0
17.0,0.0,4.0,5.0,3.0,test,0.12514345133179386,2.0,256.0,100.0,0.09144504160258742,0.024633434187989797,0.0033243031261867236,0.0035706374680666217,0.0008229828803624617,0.04572252080129371,0.01564102022018162,0.030081500581112086,65.79143068651835,1.0
