replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
10.0,ess_0.40,0.4,23.0,2.0,11.0,0.5481854429729999,0.30765141523316597,0.38144539880132433,1.0,nan,nan
10.0,ess_0.40,0.4,24.0,2.0,12.0,0.5107009817743513,0.3146197853854751,0.31018259103904006,1.0,nan,nan
10.0,ess_0.40,0.4,25.0,3.0,1.0,0.5567631365221807,1.0,1.0,0.0,nan,nan
10.0,ess_0.40,0.4,26.0,3.0,2.0,0.5756985207646304,0.8724420163286648,0.8381196401180899,0.0,nan,nan
10.0,ess_0.40,0.4,27.0,3.0,3.0,0.6247859710895414,0.610564029269981,0.7063788123465616,0.0,nan,nan
10.0,ess_0.40,0.4,28.0,3.0,4.0,0.6648125733270531,0.3844652540209512,0.7209099223527171,0.0,nan,nan
10.0,ess_0.40,0.4,29.0,3.0,5.0,0.11082489285392856,0.28122218715744496,0.1421979935819761,1.0,nan,nan
10.0,ess_0.40,0.4,30.0,3.0,6.0,0.1121040486433106,0.04729853151935047,0.128854971813448,1.0,nan,nan
10.0,ess_0.40,0.4,31.0,3.0,7.0,0.11357299316014588,0.04848619659018302,0.12870543272221005,1.0,nan,nan
10.0,ess_0.40,0.4,32.0,3.0,8.0,0.11487546543657925,0.04996102310560692,0.15751279426907633,1.0,nan,nan
10.0,ess_0.40,0.4,33.0,3.0,9.0,0.11595773624322109,0.05125714873140437,0.14917580856063883,1.0,nan,nan
10.0,ess_0.40,0.4,34.0,3.0,10.0,0.11658214669748318,0.05229477749813201,0.407113932646716,0.0,nan,nan
10.0,ess_0.40,0.4,35.0,3.0,11.0,0.11874168729336387,0.05291511817531171,0.09474836793081085,1.0,nan,nan
10.0,ess_0.40,0.4,36.0,3.0,12.0,0.12000353192255128,0.05501110826892255,0.15043473881683775,1.0,nan,nan
10.0,ess_0.40,0.4,37.0,4.0,1.0,0.13223120447667888,0.9999999999996314,1.0,0.0,nan,nan
10.0,ess_0.40,0.4,38.0,4.0,2.0,0.1336916003734017,0.9817186233621292,0.998817038783527,0.0,nan,nan
10.0,ess_0.40,0.4,39.0,4.0,3.0,0.13595546265862507,0.9779350076464334,0.8313603990326403,0.0,nan,nan
10.0,ess_0.40,0.4,40.0,4.0,4.0,0.22297459909173667,0.9711870694448927,0.9293360105403795,0.0,nan,nan
10.0,ess_0.40,0.4,41.0,4.0,5.0,0.22437821342275227,0.11535461257423213,0.8615573521720367,0.0,nan,nan
10.0,ess_0.40,0.4,42.0,4.0,6.0,0.21704594426046667,0.10987229219636252,0.036089090285046206,1.0,nan,nan
10.0,ess_0.40,0.4,43.0,4.0,7.0,0.21905436816348534,0.17148392750486535,0.819114320448226,0.0,nan,nan
10.0,ess_0.40,0.4,44.0,4.0,8.0,0.22030071319720387,0.16037751464221967,0.9308445715786856,0.0,nan,nan
10.0,ess_0.40,0.4,45.0,4.0,9.0,0.22166416881633483,0.15465310373987434,0.8365680500900018,0.0,nan,nan
10.0,ess_0.40,0.4,46.0,4.0,10.0,0.2217483911793903,0.14765896352326469,0.2568153010414872,1.0,nan,nan
10.0,ess_0.40,0.4,47.0,4.0,11.0,0.22177908774439892,0.14736121729122195,0.042141121816348256,1.0,nan,nan
10.0,ess_0.40,0.4,48.0,4.0,12.0,0.32438124291469805,0.14724866409653026,0.45848335695709125,0.0,nan,nan
10.0,ess_0.40,0.4,49.0,5.0,1.0,0.3456148856554266,0.9999999999998757,1.0,0.0,nan,nan
10.0,ess_0.40,0.4,50.0,5.0,2.0,0.36528339004664484,0.9486191786564193,0.98175927905013,0.0,nan,nan
10.0,ess_0.40,0.4,51.0,5.0,3.0,0.3871178458842602,0.7699673710421853,0.9178319371361233,0.0,nan,nan
10.0,ess_0.40,0.4,52.0,5.0,4.0,0.40086565736579016,0.6278637698178718,0.8041507423818033,0.0,nan,nan
10.0,ess_0.40,0.4,53.0,5.0,5.0,0.43239865870910543,0.555465451525545,0.8226496452732314,0.0,nan,nan
10.0,ess_0.40,0.4,54.0,5.0,6.0,0.4398311099053727,0.3807374129738357,0.5563580021703601,0.0,nan,nan
10.0,ess_0.40,0.4,55.0,5.0,7.0,0.46656085501238004,0.37541529137375823,0.616978948037203,0.0,nan,nan
10.0,ess_0.40,0.4,56.0,5.0,8.0,0.46880250496323345,0.2677192435661948,0.3581838913673551,1.0,nan,nan
10.0,ess_0.40,0.4,57.0,5.0,9.0,0.4689722712263507,0.24620718869339897,0.35934577336042645,1.0,nan,nan
10.0,ess_0.40,0.4,58.0,5.0,10.0,0.46964939796550825,0.24577420030231806,0.2367604908063379,1.0,nan,nan
10.0,ess_0.40,0.4,59.0,5.0,11.0,0.2393121626850835,0.24435945880930013,0.35531193568458486,1.0,nan,nan
10.0,ess_0.40,0.4,60.0,5.0,12.0,0.3125478046306975,0.12192876785699741,0.46968070456678224,0.0,nan,nan
10.0,ess_0.40,0.4,61.0,6.0,1.0,0.3432862182426373,0.9999999999998486,1.0,0.0,nan,nan
10.0,ess_0.40,0.4,62.0,6.0,2.0,0.3921529157795754,0.9012632278920915,0.9766027609329063,0.0,nan,nan
10.0,ess_0.40,0.4,63.0,6.0,3.0,0.4586942219523772,0.7593677538365045,0.8430488276539353,0.0,nan,nan
10.0,ess_0.40,0.4,64.0,6.0,4.0,0.5028184426818013,0.39984715557580214,0.5249794705829213,0.0,nan,nan
10.0,ess_0.40,0.4,65.0,6.0,5.0,0.5115688831704654,0.1745365467893711,0.6156195288364755,0.0,nan,nan
10.0,ess_0.40,0.4,66.0,6.0,6.0,0.5252177218991093,0.14564411073582562,0.608315665213326,0.0,nan,nan
10.0,ess_0.40,0.4,67.0,6.0,7.0,0.5458697728718178,0.12679117750202548,0.504955774167764,0.0,nan,nan
10.0,ess_0.40,0.4,68.0,6.0,8.0,0.5607684861020494,0.09552847495069125,0.5189729836302478,0.0,nan,nan
10.0,ess_0.40,0.4,69.0,6.0,9.0,0.46533444715198624,0.0806543636462628,0.029224216567608347,1.0,nan,nan
10.0,ess_0.40,0.4,70.0,6.0,10.0,0.46895298544760533,0.28722166061924004,0.767976205399657,0.0,nan,nan
10.0,ess_0.40,0.4,71.0,6.0,11.0,0.4708099774577942,0.2639101520233749,0.3363998538189608,1.0,nan,nan
10.0,ess_0.40,0.4,72.0,6.0,12.0,0.5916979534356444,0.2574478817043718,0.5203304373241131,0.0,nan,nan
10.0,ess_0.60,0.6,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
10.0,ess_0.60,0.6,1.0,1.0,1.0,0.45044474590300343,1.0,1.0,0.0,nan,nan
10.0,ess_0.60,0.6,2.0,1.0,2.0,0.4010728932728888,0.8498939134378871,0.8620824979762841,0.0,nan,nan
10.0,ess_0.60,0.6,3.0,1.0,3.0,0.37514860818805074,0.387328602467033,0.4598814307862654,1.0,nan,nan
10.0,ess_0.60,0.6,4.0,1.0,4.0,0.4518755624746075,0.28421636122117344,0.36880321148045364,1.0,nan,nan
10.0,ess_0.60,0.6,5.0,1.0,5.0,0.48326600420667565,0.5544767463265087,0.556298714230176,1.0,nan,nan
10.0,ess_0.60,0.6,6.0,1.0,6.0,0.5203302620060235,0.6769416965088842,0.6576508610565127,0.0,nan,nan
10.0,ess_0.60,0.6,7.0,1.0,7.0,0.5330610586621325,0.7506719270053402,0.7631248327661557,0.0,nan,nan
10.0,ess_0.60,0.6,8.0,1.0,8.0,0.5519254144313462,0.7208688580001736,0.8134201955341993,0.0,nan,nan
10.0,ess_0.60,0.6,9.0,1.0,9.0,0.5739430589745059,0.7475968951638653,0.7716174022767275,0.0,nan,nan
10.0,ess_0.60,0.6,10.0,1.0,10.0,0.5728675898323073,0.7653895398818853,0.7635151313444569,0.0,nan,nan
10.0,ess_0.60,0.6,11.0,1.0,11.0,0.5668237765449959,0.6554556297555975,0.568729853883689,1.0,nan,nan
10.0,ess_0.60,0.6,12.0,1.0,12.0,0.5485087623419053,0.6650756744667732,0.7307593130141264,0.0,nan,nan
10.0,ess_0.60,0.6,13.0,2.0,1.0,0.5931596725577758,1.0,1.0,0.0,nan,nan
10.0,ess_0.60,0.6,14.0,2.0,2.0,0.46191854071148314,0.5898309131475491,0.4724502775685715,1.0,nan,nan
10.0,ess_0.60,0.6,15.0,2.0,3.0,0.5276287413538239,0.5778627125621465,0.7388767246353339,0.0,nan,nan
10.0,ess_0.60,0.6,16.0,2.0,4.0,0.48842200811058484,0.4643270345944392,0.6870973380870047,0.0,nan,nan
10.0,ess_0.60,0.6,17.0,2.0,5.0,0.5238776319564495,0.12683400252631769,0.593164495755114,1.0,nan,nan
10.0,ess_0.60,0.6,18.0,2.0,6.0,0.4090151422116108,0.18145061971792828,0.6255409112576179,0.0,nan,nan
10.0,ess_0.60,0.6,19.0,2.0,7.0,0.4379098268355774,0.05004898609935669,0.36169747942772773,1.0,nan,nan
10.0,ess_0.60,0.6,20.0,2.0,8.0,0.451717498528955,0.059493259291923735,0.4165601233684032,1.0,nan,nan
10.0,ess_0.60,0.6,21.0,2.0,9.0,0.4919970830860339,0.06703747450004138,0.22792010983796032,1.0,nan,nan
10.0,ess_0.60,0.6,22.0,2.0,10.0,0.40268201816668603,0.14020269102838606,0.36025578371639577,1.0,nan,nan
10.0,ess_0.60,0.6,23.0,2.0,11.0,0.39984213970656374,0.0486842565632276,0.5321314781509848,1.0,nan,nan
10.0,ess_0.60,0.6,24.0,2.0,12.0,0.28125908699258634,0.04774151105129936,0.14681368138014275,1.0,nan,nan
10.0,ess_0.60,0.6,25.0,3.0,1.0,0.49526436488543213,1.0,1.0,0.0,nan,nan
10.0,ess_0.60,0.6,26.0,3.0,2.0,0.4990128958437629,0.27614436365086353,0.28509177873444325,1.0,nan,nan
10.0,ess_0.60,0.6,27.0,3.0,3.0,0.5002741559267592,0.27530732353557713,0.3596035935753566,1.0,nan,nan
10.0,ess_0.60,0.6,28.0,3.0,4.0,0.5001128543603155,0.26975331331199753,0.4890044770488411,1.0,nan,nan
10.0,ess_0.60,0.6,29.0,3.0,5.0,0.4949781314157626,0.2738432305543978,0.20843518308829048,1.0,nan,nan
10.0,ess_0.60,0.6,30.0,3.0,6.0,0.4915417480505564,0.2807040539044095,0.5790061218720062,1.0,nan,nan
10.0,ess_0.60,0.6,31.0,3.0,7.0,0.5194089297572613,0.2971560567130076,0.6884072618473539,0.0,nan,nan
10.0,ess_0.60,0.6,32.0,3.0,8.0,0.5162676318875236,0.17670139809582647,0.3465360924945942,1.0,nan,nan
