checkpoint_id,replication,rollout_batch,minibatch,selection_bin,minibatches_per_estimator,sequences_per_diagnostic,population_sequence_ess,training_sample_ess,mean_diagnostic_sample_ess,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,ppo_mse_reduction_pct,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,diagnostic_draws
15.0,16.0,1.0,15.0,2.0,4.0,512.0,0.04266423924961842,0.18372091457769604,0.19404887385719427,0.06111929130366954,0.05959433400178209,0.0015249573018874482,2.4950506940774875,-0.3810821850396655,-2.074524773872229,-1.693442588832564,32.0
16.0,18.0,5.0,8.0,2.0,1.0,128.0,0.06352805188635263,0.7059623738894135,0.2691042991854041,0.05132998006322771,0.0365517564318877,0.014778223631340015,28.790628036746476,-2.15068439466851,-2.263670862840807,-0.11298646817229735,32.0
16.0,18.0,5.0,8.0,2.0,4.0,512.0,0.06352805188635263,0.7059623738894135,0.16585757813499732,0.012624313944615915,0.013329236300309005,-0.0007049223556930873,-5.583846843366299,1.1059654796555252,0.3367127715755049,-0.7692527080800202,32.0
17.0,0.0,4.0,5.0,3.0,1.0,128.0,0.12514345133179386,0.09227287944089108,0.30441950867692946,0.03197857158632553,0.012841319239478061,0.019137252346847468,59.84398738757555,-0.4899870315614873,-0.3886469220213163,0.10134010954017103,32.0
17.0,0.0,4.0,5.0,3.0,4.0,512.0,0.12514345133179386,0.09227287944089108,0.21864825627569529,0.008844646220020517,0.00611178343243599,0.0027328627875845266,30.898497459383822,1.7062174393595277,0.8131569611883955,-0.8930604781711324,32.0
18.0,0.0,7.0,5.0,3.0,1.0,128.0,0.11008615748349813,0.06828327579205741,0.3351663647619924,0.03433286619211422,0.018109004275190972,0.01622386191692325,47.25460969713517,0.8080616435420361,-1.115266189006784,-1.9233278325488203,32.0
18.0,0.0,7.0,5.0,3.0,4.0,512.0,0.11008615748349813,0.06828327579205741,0.22596046369298972,0.017834121754407614,0.017445843721324877,0.0003882780330827303,2.1771637450370624,1.0168498987488628,-1.2603071846890102,-2.2771570834378725,32.0
19.0,3.0,5.0,8.0,3.0,1.0,128.0,0.12240212159958949,0.43340627534259085,0.2867594477712359,0.031004513594315733,0.025208440508897485,0.005796073085418249,18.694288068047236,-0.8900285186318198,-1.5756738560413637,-0.685645337409544,32.0
19.0,3.0,5.0,8.0,3.0,4.0,512.0,0.12240212159958949,0.43340627534259085,0.23689108898728808,0.011009793584523721,0.012308238352889394,-0.0012984447683656738,-11.793543252172098,1.3457052512938916,0.04675680341022997,-1.298948447883662,32.0
20.0,8.0,6.0,14.0,3.0,1.0,128.0,0.17416232103516502,0.42550764075286057,0.3516511637026433,0.03662090712229892,0.025728840831308664,0.010892066290990253,29.74275392637104,-0.9124822724566031,-0.6176263728221824,0.29485589963442066,32.0
20.0,8.0,6.0,14.0,3.0,4.0,512.0,0.17416232103516502,0.42550764075286057,0.26656082010190124,0.010220305255403152,0.008605174156483115,0.0016151310989200376,15.803159089266623,1.4144447693821922,1.292208157264687,-0.12223661211750483,32.0
