candidate,replication,iteration,raw_value,ppo_value,raw_minus_ppo,raw_endpoint_rho
A_320_40_lr014_eps020,1,0,0.26409195184164375,0.26409195184164375,0.0,1.0
A_320_40_lr014_eps020,1,1,0.31270585617277097,0.30233271447419585,0.010373141698575117,0.8794372109947912
A_320_40_lr014_eps020,1,2,0.36975735525462,0.3443387752155574,0.02541858003906261,0.9154071896204036
A_320_40_lr014_eps020,1,3,0.4178183870818561,0.38545276062957884,0.03236562645227725,0.9166319965988056
A_320_40_lr014_eps020,1,4,0.4673037483543961,0.42804683043071035,0.03925691792368574,0.9423304141786757
A_320_40_lr014_eps020,1,5,0.507387521953744,0.4700293936177242,0.037358128336019814,0.955447220234398
A_320_40_lr014_eps020,1,6,0.5391881085364784,0.5050222655731749,0.034165842963303494,0.9249374872702565
A_320_40_lr014_eps020,1,7,0.5661190099628345,0.5378111595585061,0.028307850404328372,0.9143479295138842
A_320_40_lr014_eps020,1,8,0.5971716389523489,0.5633367951253448,0.03383484382700408,0.9002823660044393
A_320_40_lr014_eps020,1,9,0.6203010091322418,0.5870122685672444,0.03328874056499742,0.9470977542610773
A_320_40_lr014_eps020,1,10,0.6375109782326679,0.6097566019418091,0.02775437629085875,0.9662317002649422
A_320_40_lr014_eps020,1,11,0.6599557085716063,0.6256027540361131,0.03435295453549325,0.9151916116314183
A_320_40_lr014_eps020,1,12,0.6640985593165104,0.6450369626694401,0.0190615966470703,0.8791056492401887
A_320_40_lr014_eps020,1,13,0.6876926092083875,0.660885975948348,0.026806633260039514,0.8747556268638811
A_320_40_lr014_eps020,1,14,0.6990642470140721,0.6728180065528083,0.02624624046126378,0.9689145027593781
A_320_40_lr014_eps020,1,15,0.7084454172682527,0.682199866512962,0.02624555075529067,0.9218815739131979
A_320_40_lr014_eps020,1,16,0.7226176992647595,0.6902079613998129,0.03240973786494661,0.9196552245803932
A_320_40_lr014_eps020,1,17,0.735247116569723,0.7029473200435619,0.032299796526161106,0.9358866918745357
A_320_40_lr014_eps020,1,18,0.7442478139340581,0.7150851471400235,0.029162666794034675,0.957314304953809
A_320_40_lr014_eps020,1,19,0.731216692854292,0.7284451761174179,0.0027715167368741467,0.8343756493055328
A_320_40_lr014_eps020,1,20,0.7601294683529796,0.7334080306167342,0.026721437736245357,0.8720420575003096
A_320_40_lr014_eps020,1,21,0.7661475943146051,0.743121442395695,0.02302615191891011,0.9456129955416946
A_320_40_lr014_eps020,1,22,0.7734542908608554,0.7480014702540482,0.025452820606807203,0.9747960076841475
A_320_40_lr014_eps020,1,23,0.7759072321880996,0.752897932107047,0.02300930008105262,0.9613898562437243
A_320_40_lr014_eps020,1,24,0.7639828088716487,0.7589140526749044,0.005068756196744295,0.9226329146420351
A_320_40_lr014_eps020,1,25,0.7895560177315625,0.7673932104029116,0.022162807328650835,0.8981807444237114
A_320_40_lr014_eps020,2,0,0.26409195184164375,0.26409195184164375,0.0,1.0
A_320_40_lr014_eps020,2,1,0.3114869412229859,0.2943773235097608,0.01710961771322511,0.8170099523882243
A_320_40_lr014_eps020,2,2,0.362894067327172,0.3341334258856055,0.02876064144156648,0.9240643416426145
A_320_40_lr014_eps020,2,3,0.4190079782322326,0.3782823565396475,0.040725621692585146,0.7761702741385351
A_320_40_lr014_eps020,2,4,0.4665842802325591,0.42169609117468615,0.04488818905787295,0.923674240603409
A_320_40_lr014_eps020,2,5,0.4898198441963353,0.46241452297976576,0.027405321216569523,0.9267092618158722
A_320_40_lr014_eps020,2,6,0.525484406304421,0.49242865396416796,0.033055752340252986,0.8762965272949633
