checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
6.0,1.0,4.0,512.0,0.017426085246850555,Formula oracle,1.0,1.0,0.0035711352670133633,100.0
6.0,1.0,4.0,512.0,0.017426085246850555,Fitted ESS,1.0,1.0,0.0035711352670133633,100.0
6.0,1.0,4.0,512.0,0.017426085246850555,Effective-count transfer,1.0,1.0,0.0035711352670133633,100.0
6.0,1.0,4.0,512.0,0.017426085246850555,Fixed ESS 0.1,1.0,1.0,0.0035711352670133633,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,Raw,0.0,1.0,0.028734980793636854,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,PPO masked,1.0,0.0,0.0033840473286326504,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,Formula oracle,0.0,1.0,0.028734980793636854,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,Fitted ESS,0.0,1.0,0.028734980793636854,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,Effective-count transfer,1.0,0.0,0.0033840473286326504,100.0
6.0,1.0,8.0,1024.0,0.017426085246850555,Fixed ESS 0.1,1.0,0.0,0.0033840473286326504,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,Raw,0.0,0.0,0.038476358970138645,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,PPO masked,1.0,1.0,0.02417337850217833,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,Formula oracle,1.0,1.0,0.02417337850217833,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,Fitted ESS,1.0,1.0,0.02417337850217833,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,Effective-count transfer,1.0,1.0,0.02417337850217833,100.0
9.0,2.0,1.0,128.0,0.05967202096628819,Fixed ESS 0.1,1.0,1.0,0.02417337850217833,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,Raw,0.0,0.0,0.01906878274851652,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,PPO masked,1.0,1.0,0.010526719691356554,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,Formula oracle,1.0,1.0,0.010526719691356554,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,Fitted ESS,1.0,1.0,0.010526719691356554,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,Effective-count transfer,1.0,1.0,0.010526719691356554,100.0
9.0,2.0,2.0,256.0,0.05967202096628819,Fixed ESS 0.1,1.0,1.0,0.010526719691356554,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,Raw,0.0,0.0,0.008267502748262158,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,PPO masked,1.0,1.0,0.0049901712000106485,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,Formula oracle,1.0,1.0,0.0049901712000106485,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,Fitted ESS,1.0,1.0,0.0049901712000106485,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,Effective-count transfer,1.0,1.0,0.0049901712000106485,100.0
9.0,2.0,4.0,512.0,0.05967202096628819,Fixed ESS 0.1,1.0,1.0,0.0049901712000106485,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,Raw,0.0,0.0,0.0038785603552374463,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,PPO masked,1.0,1.0,0.003262295265527914,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,Formula oracle,1.0,1.0,0.003262295265527914,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,Fitted ESS,0.0,0.0,0.0038785603552374463,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,Effective-count transfer,1.0,1.0,0.003262295265527914,100.0
9.0,2.0,8.0,1024.0,0.05967202096628819,Fixed ESS 0.1,1.0,1.0,0.003262295265527914,100.0
11.0,2.0,1.0,128.0,0.07322635077569153,Raw,0.0,0.0,0.03811743521508224,100.0
11.0,2.0,1.0,128.0,0.07322635077569153,PPO masked,1.0,1.0,0.0022654029495687363,100.0
11.0,2.0,1.0,128.0,0.07322635077569153,Formula oracle,1.0,1.0,0.0022654029495687363,100.0
11.0,2.0,1.0,128.0,0.07322635077569153,Fitted ESS,1.0,1.0,0.0022654029495687363,100.0
11.0,2.0,1.0,128.0,0.07322635077569153,Effective-count transfer,1.0,1.0,0.0022654029495687363,100.0
