initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,raw_peak_drop,transition_visible,score
1.1,16,2,478,0.14,0.1723701304874997,0.8512308550922029,0.8587265624242185,0.8588211742611852,-9.461183696668485e-05,-2.296394581280392e-05,60,460,0.9840995560138877,15.745592896222202,0.9941155554235029,0.0,0.0,0.007164789115388093
1.2,16,2,478,0.1689227278777497,0.1723701304874997,0.8656612919933122,0.8707984416643033,0.8711373534916118,-0.0003389118273084968,-0.0003099643985096101,60,460,0.9801421303035198,15.682274084856317,0.9940076968837646,0.0,0.0,0.0028947428798886676
1.05,16,2,478,0.1,0.1723701304874997,0.8423815621934049,0.8507606822810632,0.849936661449018,0.0008240208320451359,1.7821847011045833e-05,60,-1,0.9872719511022673,15.796351217636277,0.9954882933645786,0.0,0.0,0.0017821847011045833
1.1,8,1,478,0.1,0.1723701304874997,0.8512308550922029,0.8563279914577435,0.8566624711075747,-0.000334479649831132,-0.0003251634774065204,20,40,0.9697303346594058,7.757842677275247,0.9914226080041116,0.0,0.0,0.000931617242461158
0.9,16,2,478,0.14,0.1723701304874997,0.8067083482427954,0.8316451304517397,0.8265419261494076,0.005103204302332132,4.1812556027531755e-06,60,-1,0.9797797681684097,15.676476290694556,0.9920841760451713,0.0,0.0,0.00041812556027531755
0.9,16,2,478,0.1,0.1723701304874997,0.8067083482427954,0.8260601265856466,0.8229231046811432,0.0031370219045034897,-7.622408759566657e-05,60,-1,0.9860310161689343,15.776496258702949,0.994386772096117,0.0,0.0,-0.007622408759566657
0.9,8,2,956,0.1,0.1723701304874997,0.8067083482427954,0.8385942946820698,0.8305355427792376,0.008058751902832229,-8.816453173843275e-05,120,-1,0.9691001083488121,7.752800866790497,0.9885584085938272,0.0,0.0,-0.008816453173843275
1.15,8,2,956,0.1,0.1723701304874997,0.8589333429753235,0.8664381650870995,0.8663088437210845,0.00012932136601495614,-9.350426051357719e-05,120,-1,0.9759854357992243,7.807883486393794,0.9920632311609182,0.0006845329618178075,0.0,-0.009350426051357719
1.1,16,2,478,0.1689227278777497,0.1723701304874997,0.8512308550922029,0.8600592565727647,0.8597576435351186,0.0003016130376460868,-0.00012242582516786005,60,-1,0.9800136569502607,15.68021851120417,0.9928787877912415,0.0,0.0,-0.012242582516786005
1.15,16,1,239,0.14,0.1723701304874997,0.8589333429753235,0.8617511769036629,0.8620333252054945,-0.00028214830183159734,-0.0004452771496242791,20,40,0.9868591206057656,15.78974592969225,0.9944947182332224,0.0,0.0,-0.016312884779268177
